,state,county,netprice
0,Alabama,Shelby County,10500.0
1,Arkansas,Chicot County,31147.0588
2,Colorado,Costilla County,1431.5353
3,Colorado,Weld County,50636.9427
4,Florida,Hardee County,6734.6939
5,Kansas,Pottawatomie County,3022.0086
6,Kentucky,Ballard County,2815.0652
7,Minnesota,Clay County,0.1667
8,Missouri,Mercer County,3195.0
9,Missouri,Saint Charles County,9512.1951
10,New York,Otsego County,2413.9706
11,North Carolina,Beaufort County,3532.2581
12,North Dakota,Wells County,0.0021
13,Oklahoma,Seminole County,2500.0
14,Oregon,Harney County,25000.0
15,Oregon,Josephine County,28842.6033
16,Oregon,Klamath County,34569.5652
17,Tennessee,Dickson County,7273.7853
18,Texas,Atascosa County,5720.5617
19,Texas,Bee County,6886.6667
20,Texas,Bexar County,10500.0
21,Texas,Edwards County,3688.2473
22,Texas,Gillespie County,18516.8335
23,Texas,Houston County,8901.8781
24,Texas,Stonewall County,12130.4348
25,Texas,Washington County,64220.1835
26,Texas,Wilbarger County,2500.0
27,Virginia,Franklin County,9836.0656
28,Washington,Stevens County,7500.0
29,Wisconsin,Jackson County,8125.0
